Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
Male,Yes,3+,Not Graduate,Yes,8309,179,1,Semiurban,1
Male,Yes,0,,Yes,6121,144,1,Rural,1
Male,No,3+,Graduate,No,6626,164,1,Urban,1
Male,No,1,Graduate,No,6622,292,1,Urban,0
Female,Yes,2,Not Graduate,Yes,3146,341,1,Semiurban,0
Male,No,0,Not Graduate,Yes,2418,331,1,,0
Male,Yes,3+,Graduate,No,4297,348,1,Urban,0
Male,Yes,0,Not Graduate,Yes,8006,332,0,Rural,0
Male,No,3+,Not Graduate,No,7370,118,1,Urban,1
Male,No,0,Not Graduate,Yes,3031,197,0,Rural,0
Female,Yes,3+,Not Graduate,Yes,9672,60,1,Semiurban,1
Male,No,3+,Not Graduate,No,4845,303,0,Urban,0
Female,No,1,Graduate,Yes,9173,379,1,Semiurban,0
Male,Yes,3+,Graduate,No,8449,87,1,Semiurban,1
Female,Yes,1,Graduate,Yes,8382,183,1,Urban,1
Male,No,3+,Not Graduate,Yes,3406,249,0,Urban,0
Male,Yes,2,Not Graduate,Yes,4586,72,1,Semiurban,1
Female,Yes,2,Graduate,No,9652,352,1,Urban,0
Female,No,2,Not Graduate,Yes,7250,395,1,Rural,0
Female,Yes,3+,Graduate,Yes,2562,351,1,Rural,0
Male,Yes,1,Graduate,Yes,3476,267,1,Urban,0
Female,No,1,Graduate,Yes,2796,190,1,Semiurban,0
Male,No,3+,Not Graduate,No,7729,153,1,Urban,1
Male,Yes,2,Not Graduate,No,9141,259,1,Urban,0
Female,Yes,2,Graduate,Yes,1625,160,0,Semiurban,0
Female,No,1,Graduate,No,6132,153,0,Semiurban,0
Male,No,2,Graduate,Yes,7788,365,0,Rural,0
Male,No,0,Graduate,Yes,5096,220,1,Semiurban,1
Female,No,1,Not Graduate,Yes,7668,373,0,Rural,0
Female,Yes,2,Not Graduate,No,9061,182,0,Semiurban,0
Female,No,1,Graduate,No,9758,342,1,Urban,0
Male,No,0,Graduate,No,1732,377,1,Rural,0
Male,Yes,1,Not Graduate,No,7871,176,1,Rural,1
Male,No,1,Not Graduate,No,5706,155,1,Rural,1
Male,Yes,1,Graduate,No,9443,141,1,Urban,1
Male,No,1,Graduate,No,8391,336,1,Urban,0
Male,No,0,Graduate,No,8238,100,0,Urban,0
Female,No,3+,Not Graduate,No,3972,78,1,Urban,1
Male,Yes,1,Not Graduate,Yes,4239,345,1,Urban,0
Male,Yes,1,Not Graduate,No,6901,346,1,Rural,0
Male,No,2,Graduate,No,3261,263,1,Urban,0
Female,Yes,1,Graduate,No,2376,316,1,Rural,0
Male,Yes,2,Not Graduate,No,5312,306,1,Urban,0
Male,Yes,3+,Not Graduate,No,2960,351,1,Semiurban,0
Female,Yes,0,Graduate,No,3233,150,1,Rural,1
Male,Yes,0,Not Graduate,No,3105,395,1,Semiurban,0
Male,Yes,3+,Not Graduate,No,7122,159,1,Rural,1
Male,No,0,Graduate,No,8267,231,0,Semiurban,0
Male,No,3+,Not Graduate,No,8486,362,1,Urban,0
Male,Yes,3+,Graduate,No,5017,50,0,Urban,0
Female,No,3+,Graduate,Yes,5235,368,1,Urban,0
Female,No,0,Graduate,Yes,9934,104,1,Rural,1
Female,No,2,Graduate,No,4090,198,1,Semiurban,1
Male,No,3+,Graduate,No,2563,358,1,Urban,0
Male,Yes,1,Graduate,Yes,5824,186,1,Semiurban,1
